"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-05","14.32",,"0.01","0.0","0.0","74","84","68","  180","  180","29.1","38.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-06","11.18",,"0.00","0.0","0.0","79","89","71","  320","  320","21.0","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-07","10.07",,"0.00","0.0","0.0","77","82","69","  120","  110","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-08","6.04",,"0.26","0.0","0.0","72","81","65","  180","  190","16.1","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-09","8.05",,"0.00","0.0","0.0","76","86","69","   40","   40","17.0","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-10","9.17",,"0.00","0.0","0.0","73","81","66","  160","  170","16.1","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-11","14.09",,"0.00","0.0","0.0","73","81","65","  180","  180","25.9","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-12","15.88",,"0.00","0.0","0.0","75","83","69","  180","  190","29.1","35.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-13","10.51",,"0.00","0.0","0.0","81","91","73","  180","  190","19.9","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-14","7.16",,"0.00","0.0","0.0","79","92","72","  200","   10","14.1","17.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-15","8.95",,"0.00","0.0","0.0","78","84","72","  130","  150","16.1","19.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-16","7.61",,"0.02","0.0","0.0","76","84","72","  360","  320","15.0","21.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-17","8.28",,"0.02","0.0","0.0","78","84","72","  180","  180","17.0","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-18","14.32",,"0.38","0.0","0.0","78","84","74","  220","  230","31.1","40.9","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-19","14.09",,"0.00","0.0","0.0","82","94","75","  250","  250","21.0","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-20","12.97",,"0.00","0.0","0.0","85","95","76","  180","  180","23.0","28.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-21","10.29",,"0.00","0.0","0.0","82","91","75","  180","  180","21.0","30.0",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-22","10.07",,"0.00","0.0","0.0","87","95","78","  170","  180","23.9","30.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-23","9.62",,"0.00","0.0","0.0","86","96","77","  180","  170","19.9","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-24","13.87",,"0.00","0.0","0.0","83","96","76","  180","  190","25.9","33.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-25","10.51",,"0.23","0.0","0.0","80","86","75","  190","  180","18.1","23.0","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-26","9.62",,"0.00","0.0","0.0","77","81","72","  240","  230","16.1","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-27","8.72",,"0.00","0.0","0.0","77","85","68","  180","  180","17.0","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-28","10.74",,"0.18","0.0","0.0","77","84","74","  180","  170","19.9","25.1","    1",,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-29","9.62",,"0.00","0.0","0.0","80","85","76","  190","  190","17.0","19.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-30","11.41",,"0.00","0.0","0.0","82","91","74","  320","  320","21.9","29.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-07-31","8.05",,"0.00","0.0","0.0","78","85","69","  210","  210","15.0","18.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-01","7.83",,"0.25","0.0","0.0","73","77","68","   20","   20","14.1","16.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-02","10.51",,"0.00","0.0","0.0","77","89","69","  190","  190","17.0","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-03","10.29",,"0.00","0.0","0.0","82","89","74","  180","  180","21.0","25.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-04","11.63",,"0.00","0.0","0.0","81","91","72","  180","  180","25.1","29.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-05","10.51",,"0.00","0.0","0.0","81","89","76","  210","  200","17.0","19.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-06","12.08",,"0.00","0.0","0.0","80","89","74","  190","  190","23.0","29.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-07","13.87",,"0.01","0.0","0.0","81","89","77","  190","  200","25.1","29.1",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-08","14.09",,"0.00","0.0","0.0","81","88","77","  190","  180","29.1","35.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-09","11.41",,"0.00","0.0","0.0","83","93","75","  360","  220","21.9","27.1",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-10","9.62",,"0.00","0.0","0.0","82","88","75","   30","   30","16.1","19.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-11","7.61",,"0.35","0.0","0.0","78","86","72","  360","  360","18.1","25.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-12","10.96",,"0.00","0.0","0.0","77","87","71","  350","  360","21.0","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-13","10.74",,"0.00","0.0","0.0","74","81","65","   10","   10","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-14","8.50",,"0.00","0.0","0.0","73","82","64","  160","  160","17.0","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-15","6.93",,"0.00","0.0","0.0","74","82","66","  140","  140","17.0","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-16","8.95",,"0.00","0.0","0.0","73","82","63","   40","   40","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-17","6.93",,"0.13","0.0","0.0","73","84","65","   50","  330","18.1","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-18","10.29",,"0.00","0.0","0.0","74","87","65","  190","  190","23.9","28.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-08-19","11.18",,"0.00","0.0","0.0","78","88","70","  180","  170","23.0","29.1",,,,,,
